_mean,ADM4_EN
2.63274021352313,Bulua
2.95016322089227,Bulua
3.48087431693989,Bulua
3.16666666666667,Bulua
1.89535864978903,Bonbon
1.89535864978903,Kauswagan
1.41330018645121,Bonbon
1.41330018645121,Kauswagan
1.19106247150023,Bonbon
2.02714932126697,Bonbon
2.49630411826822,Bulua
2.49630411826822,Bayabas
2.96590909090909,Bayabas
2.17816091954023,Tablon
1.22222222222222,Gusa
2.94825765575502,Cugman
2.94825765575502,Gusa
3.03030303030303,Gusa
3.17241379310345,Gusa
1.21146953405018,Cugman
1.51718494271686,Bugo
1.01327433628319,Bugo
